Adobe;12,09;12,09;12,09;12,09;12,09;12,09;12,09;12,09;12,09;12,09;141,11;0
Spotify ;5,99;5,99;5,99;5,99;5,99;5,99;5,99;5,99;6,49;6,49;6,49;6,49
Inversión Fondos;20;20;20;20;20;20;20;20;20;20;20;20
Icloud;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99
ING cuenta belga;;;;;;;;;;;1,9;1,9
Partenamut;0;42;14;14;14;14;14;14;14;14;14;14
