Vuelo vuelta;498,49
Seguro viaje;64,31
Pasta de dientes y cepillo;9,64
Mexicano;58,4
United Center Bulls;39,89
Willis Tower ;29,66
Frapuccino;5,57
Café ;6,44
Esquina cubana;211,06
Taco wynwood;16,49
El patio wynwood;13,49
Paking playa;7,07
Souvenirs miami;19,86
Olds Havana;151,81
Pendientes;17,2
Fireball;12,42
7Eleven apple;1,7
