Adobe;30,24;30,24;30,24;30,24;30,24;30,24;30,24;30,24;30,24;30,24;12,09;12,09
Spotify ;5,99;5,99;5,99;5,99;5,99;5,99;5,99;5,99;5,99;5,99;5,99;5,99
Chatgpt;22,79;23,18;22,87;23,47;23,16;23,23;22,96;22,85;;;;
Icloud;;;;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99;2,99
Runna;;;;19,99;;;;;;;;
Amazon Premium;;;4,99;;;;;;;;;
